layer,MAE,MoCo-V3,DINO
patch_embed,26.649158477783203,46.87384033203125,31.897777557373047
patch_embed.proj,26.649158477783203,46.87384033203125,31.897777557373047
blocks,488.4295959472656,1099.7841796875,618.0462036132812
blocks.0,112.42900085449219,275.1739807128906,145.92742919921875
blocks.0.norm1,29.863391876220703,13.039682388305664,5.706179618835449
blocks.0.attn,73.16531372070312,112.64678192138672,82.4329833984375
blocks.0.attn.qkv,63.79120635986328,100.56429290771484,73.5241928100586
blocks.0.attn.proj,35.83675765991211,50.765663146972656,37.27876663208008
blocks.0.norm2,28.01856231689453,59.06614685058594,15.913774490356445
blocks.0.mlp,74.93143463134766,243.77572631835938,119.2530746459961
blocks.0.mlp.fc1,52.83906173706055,225.6932830810547,85.64520263671875
blocks.0.mlp.fc2,53.13456344604492,92.29617309570312,82.99848937988281
blocks.1,125.55859375,231.32875061035156,162.39727783203125
blocks.1.norm1,12.030702590942383,19.193859100341797,8.302334785461426
blocks.1.attn,70.86577606201172,118.66693878173828,92.51517486572266
blocks.1.attn.qkv,61.64546585083008,107.79964447021484,84.05200958251953
blocks.1.attn.proj,34.958553314208984,49.61676025390625,38.66154861450195
blocks.1.norm2,13.392365455627441,33.823036193847656,9.096693992614746
blocks.1.mlp,102.08869171142578,194.75657653808594,132.9266357421875
blocks.1.mlp.fc1,71.39549255371094,165.4175567626953,99.86013793945312
blocks.1.mlp.fc2,72.98304748535156,102.85916137695312,87.75460052490234
blocks.2,131.82449340820312,228.80052185058594,161.8292694091797
blocks.2.norm1,7.847653865814209,23.864248275756836,8.835732460021973
blocks.2.attn,77.12065124511719,124.99658966064453,94.749267578125
blocks.2.attn.qkv,67.72360229492188,113.76700592041016,84.806884765625
blocks.2.attn.proj,36.897491455078125,51.78681182861328,42.25721740722656
blocks.2.norm2,13.785801887512207,38.07586669921875,7.0813469886779785
blocks.2.mlp,105.74935150146484,186.33831787109375,130.73216247558594
blocks.2.mlp.fc1,72.5693130493164,155.51983642578125,96.46905517578125
blocks.2.mlp.fc2,76.9316177368164,102.68354034423828,88.24605560302734
blocks.3,139.625,241.46839904785156,162.1406707763672
blocks.3.norm1,7.481986999511719,25.78521156311035,8.0974760055542
blocks.3.attn,78.68229675292969,123.0399398803711,93.9712905883789
blocks.3.attn.qkv,68.11140441894531,109.52631378173828,84.82904052734375
blocks.3.attn.proj,39.39555358886719,56.06581497192383,40.436256408691406
blocks.3.norm2,17.70650291442871,29.82877540588379,7.863275051116943
blocks.3.mlp,113.7538833618164,204.01368713378906,131.67901611328125
blocks.3.mlp.fc1,76.72039794921875,172.15940856933594,97.59207153320312
blocks.3.mlp.fc2,83.99817657470703,109.52993774414062,88.4206771850586
blocks.4,145.53028869628906,250.12794494628906,166.15902709960938
blocks.4.norm1,8.61550521850586,23.710693359375,8.221699714660645
blocks.4.attn,80.59585571289062,122.88066864013672,94.1152114868164
blocks.4.attn.qkv,69.36257934570312,108.7789535522461,85.07575225830078
blocks.4.attn.proj,41.04623031616211,57.16053771972656,40.25218200683594
blocks.4.norm2,21.45656394958496,27.332773208618164,7.376075744628906
blocks.4.mlp,118.97282409667969,214.84864807128906,136.51217651367188
blocks.4.mlp.fc1,77.14265441894531,180.70547485351562,97.7760238647461
blocks.4.mlp.fc2,90.58248138427734,116.27923583984375,95.28237915039062
blocks.5,137.21121215820312,286.2527160644531,167.3428955078125
blocks.5.norm1,12.866204261779785,22.336458206176758,7.216448783874512
blocks.5.attn,79.95445251464844,123.0632553100586,94.66708374023438
blocks.5.attn.qkv,68.09667205810547,107.51251220703125,84.61196899414062
blocks.5.attn.proj,41.902469635009766,59.884033203125,42.46278762817383
blocks.5.norm2,24.237648010253906,31.15675163269043,7.427211761474609
blocks.5.mlp,108.09864044189453,255.66455078125,137.62582397460938
blocks.5.mlp.fc1,70.38420104980469,229.9797821044922,95.85636138916016
blocks.5.mlp.fc2,82.05160522460938,111.7696533203125,98.7694091796875
blocks.6,135.9788360595703,366.9981384277344,166.8330078125
blocks.6.norm1,16.320173263549805,22.051477432250977,6.851903915405273
blocks.6.attn,80.40740966796875,124.22712707519531,93.03196716308594
blocks.6.attn.qkv,67.56244659423828,107.34211730957031,82.95207214355469
blocks.6.attn.proj,43.5992431640625,62.53409957885742,42.12201690673828
blocks.6.norm2,22.96831703186035,87.12661743164062,8.853487968444824
blocks.6.mlp,106.01612091064453,333.486083984375,138.05445861816406
blocks.6.mlp.fc1,72.50896453857422,314.99188232421875,93.74356842041016
blocks.6.mlp.fc2,77.35832977294922,109.7447509765625,101.36006927490234
blocks.7,139.77610778808594,364.7835998535156,177.8292999267578
blocks.7.norm1,21.178335189819336,20.141124725341797,12.085382461547852
blocks.7.attn,82.40438079833984,125.65719604492188,94.82188415527344
blocks.7.attn.qkv,68.98405456542969,108.52742004394531,83.05963897705078
blocks.7.attn.proj,45.07672119140625,63.33983612060547,45.74533462524414
blocks.7.norm2,14.023255348205566,133.49014282226562,9.633435249328613
blocks.7.mlp,110.04598999023438,314.77001953125,149.66122436523438
blocks.7.mlp.fc1,73.8080062866211,292.1786193847656,97.32691955566406
blocks.7.mlp.fc2,81.63825225830078,117.29945373535156,113.70571899414062
blocks.8,152.5045166015625,380.53961181640625,191.0221710205078
blocks.8.norm1,22.692209243774414,17.988792419433594,12.363383293151855
blocks.8.attn,84.91348266601562,125.73369598388672,98.06793975830078
blocks.8.attn.qkv,70.60387420654297,108.32836151123047,84.69610595703125
blocks.8.attn.proj,47.17660903930664,63.83107376098633,49.43982696533203
blocks.8.norm2,27.427322387695312,161.16497802734375,10.35474967956543
blocks.8.mlp,121.6144790649414,320.60003662109375,163.1540069580078
blocks.8.mlp.fc1,78.3887710571289,293.4249267578125,103.8027572631836
blocks.8.mlp.fc2,92.9926986694336,129.34158325195312,125.88706970214844
blocks.9,156.66603088378906,388.7251281738281,213.30001831054688
blocks.9.norm1,21.012496948242188,18.215959548950195,11.470423698425293
blocks.9.attn,89.11972045898438,128.7992401123047,105.79845428466797
blocks.9.attn.qkv,74.42424774169922,110.69181060791016,91.92169189453125
blocks.9.attn.proj,49.02603530883789,65.85600280761719,52.38602828979492
blocks.9.norm2,29.09341812133789,138.57073974609375,43.66498565673828
blocks.9.mlp,123.79328155517578,339.22705078125,179.65579223632812
blocks.9.mlp.fc1,78.86141204833984,308.76348876953125,113.96223449707031
blocks.9.mlp.fc2,95.43545532226562,140.6354217529297,138.89483642578125
