,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,1.874,4.716
1,CLS_feats,blocks.1,10.24,20.438
2,CLS_feats,blocks.2,16.432,29.904
3,CLS_feats,blocks.3,22.922,39.652
4,CLS_feats,blocks.4,29.646,48.558
5,CLS_feats,blocks.5,36.432,56.802
6,CLS_feats,blocks.6,48.378,69.266
7,CLS_feats,blocks.7,55.564,76.21
8,CLS_feats,blocks.8,64.78,83.374
9,CLS_feats,blocks.9,76.83,90.792
10,CLS_feats,blocks.10,81.3,92.418
11,CLS_feats,blocks.11,81.558,92.364
12,GAP_WO_CLS_feats,blocks.0,8.284,16.898
13,GAP_WO_CLS_feats,blocks.1,13.486,25.232
14,GAP_WO_CLS_feats,blocks.2,18.406,32.98
15,GAP_WO_CLS_feats,blocks.3,25.33,42.658
16,GAP_WO_CLS_feats,blocks.4,33.122,52.392
17,GAP_WO_CLS_feats,blocks.5,40.236,61.04
18,GAP_WO_CLS_feats,blocks.6,48.076,69.168
19,GAP_WO_CLS_feats,blocks.7,54.978,74.642
20,GAP_WO_CLS_feats,blocks.8,64.262,81.724
21,GAP_WO_CLS_feats,blocks.9,70.868,86.096
22,GAP_WO_CLS_feats,blocks.10,72.386,87.306
23,GAP_WO_CLS_feats,blocks.11,72.95,87.43
24,GAP_feats,blocks.0,8.292,16.892
25,GAP_feats,blocks.1,13.484,25.23
26,GAP_feats,blocks.2,18.416,32.968
27,GAP_feats,blocks.3,25.33,42.65
28,GAP_feats,blocks.4,33.134,52.418
29,GAP_feats,blocks.5,40.214,61.056
30,GAP_feats,blocks.6,48.07,69.15
31,GAP_feats,blocks.7,54.956,74.62
32,GAP_feats,blocks.8,64.24,81.698
33,GAP_feats,blocks.9,70.846,86.08
34,GAP_feats,blocks.10,72.372,87.278
35,GAP_feats,blocks.11,72.98,87.452
36,linear,classifier,81.602,92.916
