,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,1.836,4.598
1,CLS_feats,blocks.1,10.254,20.142
2,CLS_feats,blocks.2,16.344,29.78
3,CLS_feats,blocks.3,24.354,41.474
4,CLS_feats,blocks.4,31.986,51.576
5,CLS_feats,blocks.5,39.476,60.396
6,CLS_feats,blocks.6,47.612,68.418
7,CLS_feats,blocks.7,55.792,75.8
8,CLS_feats,blocks.8,64.758,83.432
9,CLS_feats,blocks.9,71.238,88.19
10,CLS_feats,blocks.10,74.484,90.466
11,CLS_feats,blocks.11,76.054,91.248
12,GAP_WO_CLS_feats,blocks.0,9.01,18.16
13,GAP_WO_CLS_feats,blocks.1,16.024,29.634
14,GAP_WO_CLS_feats,blocks.2,22.768,39.448
15,GAP_WO_CLS_feats,blocks.3,30.906,50.024
16,GAP_WO_CLS_feats,blocks.4,38.048,58.084
17,GAP_WO_CLS_feats,blocks.5,44.45,64.79
18,GAP_WO_CLS_feats,blocks.6,47.784,68.05
19,GAP_WO_CLS_feats,blocks.7,49.338,69.616
20,GAP_WO_CLS_feats,blocks.8,50.396,71.048
21,GAP_WO_CLS_feats,blocks.9,51.536,72.15
22,GAP_WO_CLS_feats,blocks.10,52.2,73.032
23,GAP_WO_CLS_feats,blocks.11,54.36,75.192
24,GAP_feats,blocks.0,9.024,18.194
25,GAP_feats,blocks.1,15.998,29.608
26,GAP_feats,blocks.2,22.79,39.424
27,GAP_feats,blocks.3,30.856,50.012
28,GAP_feats,blocks.4,38.008,58.118
29,GAP_feats,blocks.5,44.466,64.834
30,GAP_feats,blocks.6,47.78,68.05
31,GAP_feats,blocks.7,49.304,69.576
32,GAP_feats,blocks.8,50.414,71.042
33,GAP_feats,blocks.9,51.578,72.172
34,GAP_feats,blocks.10,52.278,73.096
35,GAP_feats,blocks.11,54.656,75.536
36,linear,classifier,75.244,90.914
