,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,1.928,5.038
1,CLS_feats,blocks.1,9.14,18.362
2,CLS_feats,blocks.2,15.74,28.674
3,CLS_feats,blocks.3,19.45,34.046
4,CLS_feats,blocks.4,24.162,41.014
5,CLS_feats,blocks.5,29.538,48.46
6,CLS_feats,blocks.6,37.674,58.686
7,CLS_feats,blocks.7,51.226,72.542
8,CLS_feats,blocks.8,62.69,82.118
9,CLS_feats,blocks.9,72.342,88.01
10,CLS_feats,blocks.10,80.706,91.97
11,CLS_feats,blocks.11,81.926,92.648
12,GAP_WO_CLS_feats,blocks.0,7.464,15.344
13,GAP_WO_CLS_feats,blocks.1,11.768,22.722
14,GAP_WO_CLS_feats,blocks.2,15.82,29.066
15,GAP_WO_CLS_feats,blocks.3,19.508,34.896
16,GAP_WO_CLS_feats,blocks.4,24.562,41.874
17,GAP_WO_CLS_feats,blocks.5,30.872,50.264
18,GAP_WO_CLS_feats,blocks.6,38.022,59.028
19,GAP_WO_CLS_feats,blocks.7,47.77,69.394
20,GAP_WO_CLS_feats,blocks.8,57.934,77.654
21,GAP_WO_CLS_feats,blocks.9,70.188,85.628
22,GAP_WO_CLS_feats,blocks.10,78.51,90.916
23,GAP_WO_CLS_feats,blocks.11,80.85,92.216
24,GAP_feats,blocks.0,7.462,15.342
25,GAP_feats,blocks.1,11.776,22.73
26,GAP_feats,blocks.2,15.806,29.064
27,GAP_feats,blocks.3,19.508,34.9
28,GAP_feats,blocks.4,24.56,41.866
29,GAP_feats,blocks.5,30.856,50.25
30,GAP_feats,blocks.6,38.024,59.03
31,GAP_feats,blocks.7,47.794,69.408
32,GAP_feats,blocks.8,57.974,77.716
33,GAP_feats,blocks.9,70.224,85.676
34,GAP_feats,blocks.10,78.548,90.932
35,GAP_feats,blocks.11,80.862,92.22
36,linear,classifier,81.634,93.23
