,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,1.85,4.808
1,CLS_feats,blocks.1,11.482,22.272
2,CLS_feats,blocks.2,16.722,30.686
3,CLS_feats,blocks.3,24.566,41.794
4,CLS_feats,blocks.4,31.874,51.426
5,CLS_feats,blocks.5,42.708,63.618
6,CLS_feats,blocks.6,50.524,71.536
7,CLS_feats,blocks.7,56.78,78.226
8,CLS_feats,blocks.8,70.192,86.398
9,CLS_feats,blocks.9,79.562,91.594
10,CLS_feats,blocks.10,81.246,92.374
11,CLS_feats,blocks.11,82.246,92.256
12,GAP_WO_CLS_feats,blocks.0,8.848,18.044
13,GAP_WO_CLS_feats,blocks.1,14.53,27.36
14,GAP_WO_CLS_feats,blocks.2,20.194,35.764
15,GAP_WO_CLS_feats,blocks.3,28.416,46.632
16,GAP_WO_CLS_feats,blocks.4,36.118,56.134
17,GAP_WO_CLS_feats,blocks.5,45.082,65.466
18,GAP_WO_CLS_feats,blocks.6,54.53,74.476
19,GAP_WO_CLS_feats,blocks.7,65.518,82.21
20,GAP_WO_CLS_feats,blocks.8,72.186,86.808
21,GAP_WO_CLS_feats,blocks.9,75.25,89.134
22,GAP_WO_CLS_feats,blocks.10,78.75,90.424
23,GAP_WO_CLS_feats,blocks.11,79.218,90.912
24,GAP_feats,blocks.0,8.856,18.036
25,GAP_feats,blocks.1,14.548,27.362
26,GAP_feats,blocks.2,20.226,35.788
27,GAP_feats,blocks.3,28.402,46.646
28,GAP_feats,blocks.4,36.144,56.106
29,GAP_feats,blocks.5,45.1,65.466
30,GAP_feats,blocks.6,54.486,74.46
31,GAP_feats,blocks.7,65.474,82.238
32,GAP_feats,blocks.8,72.174,86.772
33,GAP_feats,blocks.9,75.23,89.148
34,GAP_feats,blocks.10,78.746,90.424
35,GAP_feats,blocks.11,79.262,90.954
36,linear,classifier,81.902,92.956
