,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,1.824,4.61
1,CLS_feats,blocks.1,9.536,19.124
2,CLS_feats,blocks.2,14.94,27.622
3,CLS_feats,blocks.3,24.632,41.732
4,CLS_feats,blocks.4,31.202,50.08
5,CLS_feats,blocks.5,38.402,58.652
6,CLS_feats,blocks.6,44.848,64.962
7,CLS_feats,blocks.7,52.88,73.122
8,CLS_feats,blocks.8,63.204,81.708
9,CLS_feats,blocks.9,70.552,87.008
10,CLS_feats,blocks.10,73.138,88.368
11,CLS_feats,blocks.11,74.298,89.566
12,GAP_WO_CLS_feats,blocks.0,8.8,17.696
13,GAP_WO_CLS_feats,blocks.1,14.346,27.046
14,GAP_WO_CLS_feats,blocks.2,21.468,37.246
15,GAP_WO_CLS_feats,blocks.3,29.59,48.056
16,GAP_WO_CLS_feats,blocks.4,37.134,56.98
17,GAP_WO_CLS_feats,blocks.5,43.902,64.148
18,GAP_WO_CLS_feats,blocks.6,46.824,67.322
19,GAP_WO_CLS_feats,blocks.7,50.046,70.488
20,GAP_WO_CLS_feats,blocks.8,52.1,72.72
21,GAP_WO_CLS_feats,blocks.9,53.32,73.798
22,GAP_WO_CLS_feats,blocks.10,59.126,78.766
23,GAP_WO_CLS_feats,blocks.11,60.972,80.394
24,GAP_feats,blocks.0,8.838,17.698
25,GAP_feats,blocks.1,14.334,27.042
26,GAP_feats,blocks.2,21.484,37.298
27,GAP_feats,blocks.3,29.59,48.068
28,GAP_feats,blocks.4,37.108,56.964
29,GAP_feats,blocks.5,43.904,64.172
30,GAP_feats,blocks.6,46.782,67.296
31,GAP_feats,blocks.7,50.062,70.486
32,GAP_feats,blocks.8,52.082,72.722
33,GAP_feats,blocks.9,53.248,73.75
34,GAP_feats,blocks.10,59.07,78.71
35,GAP_feats,blocks.11,61.108,80.522
36,linear,classifier,75.566,90.232
