,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,2.864,6.82
1,CLS_feats,blocks.1,7.334,15.43
2,CLS_feats,blocks.2,13.596,25.808
3,CLS_feats,blocks.3,19.988,35.18
4,CLS_feats,blocks.4,26.256,44.1
5,CLS_feats,blocks.5,33.036,52.856
6,CLS_feats,blocks.6,39.03,60.134
7,CLS_feats,blocks.7,51.256,72.828
8,CLS_feats,blocks.8,60.51,80.918
9,CLS_feats,blocks.9,72.302,88.88
10,CLS_feats,blocks.10,81.036,92.53
11,CLS_feats,blocks.11,82.294,92.612
12,GAP_WO_CLS_feats,blocks.0,7.796,16.182
13,GAP_WO_CLS_feats,blocks.1,11.918,22.824
14,GAP_WO_CLS_feats,blocks.2,17.074,31.178
15,GAP_WO_CLS_feats,blocks.3,23.278,40.0
16,GAP_WO_CLS_feats,blocks.4,29.87,48.36
17,GAP_WO_CLS_feats,blocks.5,36.516,56.822
18,GAP_WO_CLS_feats,blocks.6,44.63,65.276
19,GAP_WO_CLS_feats,blocks.7,50.714,71.28
20,GAP_WO_CLS_feats,blocks.8,60.256,79.646
21,GAP_WO_CLS_feats,blocks.9,71.32,86.53
22,GAP_WO_CLS_feats,blocks.10,75.234,88.768
23,GAP_WO_CLS_feats,blocks.11,76.264,89.164
24,GAP_feats,blocks.0,7.814,16.208
25,GAP_feats,blocks.1,11.926,22.822
26,GAP_feats,blocks.2,17.092,31.19
27,GAP_feats,blocks.3,23.268,39.994
28,GAP_feats,blocks.4,29.868,48.338
29,GAP_feats,blocks.5,36.504,56.814
30,GAP_feats,blocks.6,44.596,65.278
31,GAP_feats,blocks.7,50.708,71.266
32,GAP_feats,blocks.8,60.274,79.666
33,GAP_feats,blocks.9,71.284,86.532
34,GAP_feats,blocks.10,75.25,88.754
35,GAP_feats,blocks.11,76.294,89.192
36,linear,classifier,81.816,93.032
