,agg_mode,ViT_block,top-1,top-5
0,CLS_feats,blocks.0,2.022,5.01
1,CLS_feats,blocks.1,5.918,12.53
2,CLS_feats,blocks.2,11.524,22.01
3,CLS_feats,blocks.3,18.146,32.484
4,CLS_feats,blocks.4,25.804,43.27
5,CLS_feats,blocks.5,31.692,50.852
6,CLS_feats,blocks.6,38.47,59.59
7,CLS_feats,blocks.7,44.008,65.744
8,CLS_feats,blocks.8,50.696,72.654
9,CLS_feats,blocks.9,58.616,78.98
10,CLS_feats,blocks.10,64.89,83.874
11,CLS_feats,blocks.11,71.826,88.492
12,GAP_WO_CLS_feats,blocks.0,5.928,12.63
13,GAP_WO_CLS_feats,blocks.1,11.022,21.396
14,GAP_WO_CLS_feats,blocks.2,16.706,30.352
15,GAP_WO_CLS_feats,blocks.3,22.84,39.294
16,GAP_WO_CLS_feats,blocks.4,29.606,47.954
17,GAP_WO_CLS_feats,blocks.5,35.052,54.778
18,GAP_WO_CLS_feats,blocks.6,39.986,60.878
19,GAP_WO_CLS_feats,blocks.7,44.196,65.242
20,GAP_WO_CLS_feats,blocks.8,49.596,70.532
21,GAP_WO_CLS_feats,blocks.9,54.566,75.124
22,GAP_WO_CLS_feats,blocks.10,58.188,78.13
23,GAP_WO_CLS_feats,blocks.11,57.502,77.364
24,GAP_feats,blocks.0,5.928,12.624
25,GAP_feats,blocks.1,11.024,21.406
26,GAP_feats,blocks.2,16.718,30.384
27,GAP_feats,blocks.3,22.854,39.308
28,GAP_feats,blocks.4,29.61,47.96
29,GAP_feats,blocks.5,35.032,54.794
30,GAP_feats,blocks.6,40.002,60.922
31,GAP_feats,blocks.7,44.244,65.304
32,GAP_feats,blocks.8,49.662,70.612
33,GAP_feats,blocks.9,54.644,75.196
34,GAP_feats,blocks.10,58.264,78.148
35,GAP_feats,blocks.11,57.666,77.53
36,linear,classifier,73.67,89.868
